Experiment Results:
Epoch 1: Train Loss = 0.2439, Val Acc = 0.7130
Epoch 2: Train Loss = 0.2384, Val Acc = 0.7391
Epoch 3: Train Loss = 0.2421, Val Acc = 0.7130
Epoch 4: Train Loss = 0.3836, Val Acc = 0.5826
Epoch 5: Train Loss = 0.2253, Val Acc = 0.7478
Epoch 6: Train Loss = 0.2291, Val Acc = 0.7478
Epoch 7: Train Loss = 0.2421, Val Acc = 0.6783
Epoch 8: Train Loss = 0.3054, Val Acc = 0.6000
Epoch 9: Train Loss = 0.2477, Val Acc = 0.6696
Epoch 10: Train Loss = 0.2291, Val Acc = 0.7565
Epoch 11: Train Loss = 0.2663, Val Acc = 0.6348
Epoch 12: Train Loss = 0.2421, Val Acc = 0.7304
Epoch 13: Train Loss = 0.2123, Val Acc = 0.7478
Epoch 14: Train Loss = 0.2291, Val Acc = 0.7565
Epoch 15: Train Loss = 0.2216, Val Acc = 0.7478
Epoch 16: Train Loss = 0.2477, Val Acc = 0.6696
Epoch 17: Train Loss = 0.2421, Val Acc = 0.6783
Epoch 18: Train Loss = 0.2309, Val Acc = 0.6870
Epoch 19: Train Loss = 0.2812, Val Acc = 0.6174
Epoch 20: Train Loss = 0.2346, Val Acc = 0.7565
Epoch 21: Train Loss = 0.2197, Val Acc = 0.7478
Epoch 22: Train Loss = 0.2477, Val Acc = 0.8087
Epoch 23: Train Loss = 0.2179, Val Acc = 0.7565
Epoch 24: Train Loss = 0.2291, Val Acc = 0.7913
Epoch 25: Train Loss = 0.2514, Val Acc = 0.7739
Epoch 26: Train Loss = 0.2253, Val Acc = 0.7565
Epoch 27: Train Loss = 0.2253, Val Acc = 0.7304
Epoch 28: Train Loss = 0.2291, Val Acc = 0.7304
Epoch 29: Train Loss = 0.2346, Val Acc = 0.7391
Epoch 30: Train Loss = 0.2439, Val Acc = 0.6957
Epoch 31: Train Loss = 0.2216, Val Acc = 0.7565
Epoch 32: Train Loss = 0.2346, Val Acc = 0.6957
Epoch 33: Train Loss = 0.2439, Val Acc = 0.6783
Epoch 34: Train Loss = 0.2291, Val Acc = 0.7217
Epoch 35: Train Loss = 0.2309, Val Acc = 0.7826
Epoch 36: Train Loss = 0.2197, Val Acc = 0.7565
Epoch 37: Train Loss = 0.2719, Val Acc = 0.6522
Epoch 38: Train Loss = 0.2812, Val Acc = 0.6435
Epoch 39: Train Loss = 0.3929, Val Acc = 0.5913
Epoch 40: Train Loss = 0.3091, Val Acc = 0.5913
Epoch 41: Train Loss = 0.2328, Val Acc = 0.7739
Epoch 42: Train Loss = 0.2495, Val Acc = 0.6609
Epoch 43: Train Loss = 0.4823, Val Acc = 0.4696
Epoch 44: Train Loss = 0.4507, Val Acc = 0.5304
Epoch 45: Train Loss = 0.2272, Val Acc = 0.7217
Epoch 46: Train Loss = 0.2439, Val Acc = 0.7130
Epoch 47: Train Loss = 0.4655, Val Acc = 0.4870
Epoch 48: Train Loss = 0.2365, Val Acc = 0.7652
Epoch 49: Train Loss = 0.2402, Val Acc = 0.7913
Epoch 50: Train Loss = 0.2384, Val Acc = 0.7217
Epoch 51: Train Loss = 0.2235, Val Acc = 0.7304
Epoch 52: Train Loss = 0.2458, Val Acc = 0.7130
Epoch 53: Train Loss = 0.2253, Val Acc = 0.7913
Epoch 54: Train Loss = 0.2197, Val Acc = 0.7217
Epoch 55: Train Loss = 0.2421, Val Acc = 0.7217
Epoch 56: Train Loss = 0.2197, Val Acc = 0.7478
Epoch 57: Train Loss = 0.2216, Val Acc = 0.7304
Epoch 58: Train Loss = 0.2365, Val Acc = 0.7304
Epoch 59: Train Loss = 0.2365, Val Acc = 0.7304
Epoch 60: Train Loss = 0.2495, Val Acc = 0.7913
Epoch 61: Train Loss = 0.2160, Val Acc = 0.7739
Epoch 62: Train Loss = 0.2346, Val Acc = 0.7217
Epoch 63: Train Loss = 0.2384, Val Acc = 0.6957
Epoch 64: Train Loss = 0.2477, Val Acc = 0.7826
Epoch 65: Train Loss = 0.2197, Val Acc = 0.7652
Epoch 66: Train Loss = 0.2328, Val Acc = 0.7652
Epoch 67: Train Loss = 0.2365, Val Acc = 0.8000
Epoch 68: Train Loss = 0.2458, Val Acc = 0.7826
Epoch 69: Train Loss = 0.3166, Val Acc = 0.6087
Epoch 70: Train Loss = 0.2160, Val Acc = 0.7652
Epoch 71: Train Loss = 0.2328, Val Acc = 0.7043
Epoch 72: Train Loss = 0.2533, Val Acc = 0.6696
Epoch 73: Train Loss = 0.2495, Val Acc = 0.6522
Epoch 74: Train Loss = 0.2365, Val Acc = 0.7217
Epoch 75: Train Loss = 0.2365, Val Acc = 0.6957
Epoch 76: Train Loss = 0.2235, Val Acc = 0.7652
Epoch 77: Train Loss = 0.2477, Val Acc = 0.6348
Epoch 78: Train Loss = 0.2439, Val Acc = 0.7826
Epoch 79: Train Loss = 0.2421, Val Acc = 0.7739
Epoch 80: Train Loss = 0.2216, Val Acc = 0.7478
Epoch 81: Train Loss = 0.2588, Val Acc = 0.6609
Epoch 82: Train Loss = 0.2458, Val Acc = 0.7043
Epoch 83: Train Loss = 0.2309, Val Acc = 0.6870
Epoch 84: Train Loss = 0.2421, Val Acc = 0.6957
Epoch 85: Train Loss = 0.2235, Val Acc = 0.7652
Epoch 86: Train Loss = 0.2421, Val Acc = 0.7391
Epoch 87: Train Loss = 0.2421, Val Acc = 0.6522
Epoch 88: Train Loss = 0.2216, Val Acc = 0.7565
Epoch 89: Train Loss = 0.2272, Val Acc = 0.7304
Epoch 90: Train Loss = 0.2197, Val Acc = 0.7565
Epoch 91: Train Loss = 0.4525, Val Acc = 0.4957
Epoch 92: Train Loss = 0.2197, Val Acc = 0.7478
Epoch 93: Train Loss = 0.2477, Val Acc = 0.6609
